adversative-antithesis	rst
adversative-concession	rst
adversative-contrast	multinuc
attribution-negative	rst
attribution-positive	rst
causal-cause	rst
causal-result	rst
context-background	rst
context-circumstance	rst
contingency-condition	rst
elaboration-additional	rst
elaboration-attribute	rst
evaluation-comment	rst
explanation-evidence	rst
explanation-justify	rst
explanation-motivation	rst
joint-disjunction	multinuc
joint-list	multinuc
joint-other	multinuc
joint-sequence	multinuc
mode-manner	rst
mode-means	rst
organization-heading	rst
organization-phatic	rst
organization-preparation	rst
purpose-attribute	rst
purpose-goal	rst
restatement-partial	rst
restatement-repetition	multinuc
same-unit	multinuc
topic-question	rst
topic-solutionhood	rst
